lon;lat;name;name_AD
14.6017089839621;50.0360511798176;Uhøínìves;Praha 22
14.3542071310567;49.9607447056673;Lipence;Praha 16
14.3546732195961;50.0016014085525;Lochkov;Praha 16
14.388898748221;50.0238778185654;Malá Chuchle;Praha 16
14.3815085671322;50.0099642058496;Velká Chuchle;Praha 16
14.3945060405952;49.9942547234956;Lahovice;Praha 16
14.3526512707569;49.9895918142676;Radotín;Praha 16
14.385370667728;49.9680992353545;Zbraslav;Praha 16
14.3075225422468;50.0701072129435;Øepy;Praha 17
14.2649354881725;50.0630803368431;Sobín;Praha 17
14.2868079666002;50.0632712340423;Zlièín;Praha 17
14.5151463873772;50.1362033892047;Letòany;Praha 18
14.5187225042977;50.1663815020719;Tøeboradice;Praha 18
14.5398620017246;50.1578203969854;Miškovice;Praha 18
14.5237403189405;50.1502909234232;Èakovice;Praha 18
